category,identifier,description,active,sourceLink
cleaning-and-household,cleaning-and-household/cleaning/kitchen-cleaners,Kitchen cleaners,FALSE,https://www.ethicalsuperstore.com/category/cleaning-and-household/cleaning/kitchen-cleaners
cleaning-and-household,cleaning-and-household/cleaning/bathroom-cleaners,Bathroom cleaners,FALSE,https://www.ethicalsuperstore.com/category/cleaning-and-household/cleaning/bathroom-cleaners
cleaning-and-household,cleaning-and-household/cleaning/all-purpose-cleaners,All purpose cleaners,FALSE,https://www.ethicalsuperstore.com/category/cleaning-and-household/cleaning/all-purpose-cleaners
cleaning-and-household,cleaning-and-household/cleaning/glass-cleaners-and-polish,Glass cleaners and polish,FALSE,https://www.ethicalsuperstore.com/category/cleaning-and-household/cleaning/glass-cleaners-and-polish
cleaning-and-household,cleaning-and-household/cleaning/floor-cleaners,Floor cleaners,FALSE,https://www.ethicalsuperstore.com/category/cleaning-and-household/cleaning/floor-cleaners
cleaning-and-household,cleaning-and-household/laundry/laundry-liquid,Laundry liquid,FALSE,https://www.ethicalsuperstore.com/category/cleaning-and-household/laundry/laundry-liquid
cleaning-and-household,cleaning-and-household/laundry/washing-powder-and-tablets,Washing powder and tablets,FALSE,https://www.ethicalsuperstore.com/category/cleaning-and-household/laundry/washing-powder-and-tablets
cleaning-and-household,cleaning-and-household/laundry/fabric-conditioner,Fabric conditioner,FALSE,https://www.ethicalsuperstore.com/category/cleaning-and-household/laundry/fabric-conditioner
cleaning-and-household,cleaning-and-household/laundry/stain-removers-and-treatments,Stain removers and treatments,FALSE,https://www.ethicalsuperstore.com/category/cleaning-and-household/laundry/stain-removers-and-treatments
cleaning-and-household,cleaning-and-household/laundry/clothes-drying,Clothes drying,FALSE,https://www.ethicalsuperstore.com/category/cleaning-and-household/laundry/clothes-drying
cleaning-and-household,cleaning-and-household/cloths-and-mops,Cloths and mops,FALSE,https://www.ethicalsuperstore.com/category/cleaning-and-household/cloths-and-mops
cleaning-and-household,cleaning-and-household/bin-bags-and-foils,Bin bags and foils,FALSE,https://www.ethicalsuperstore.com/category/cleaning-and-household/bin-bags-and-foils
cleaning-and-household,cleaning-and-household/tissues-and-towels,Tissues and towels,FALSE,https://www.ethicalsuperstore.com/category/cleaning-and-household/tissues-and-towels
cleaning-and-household,cleaning-and-household/diy,Diy,FALSE,https://www.ethicalsuperstore.com/category/cleaning-and-household/diy
cleaning-and-household,cleaning-and-household/plastic-free.htm,Cleaning and Household - Plastic free,FALSE,https://www.ethicalsuperstore.com/category/cleaning-and-household/plastic-free.htm
fashion,fashion/womens/blouses--tunics---camis,Blouses tunics camis,FALSE,https://www.ethicalsuperstore.com/category/fashion/womens/blouses--tunics---camis
fashion,fashion/womens/knitwear,Knitwear,FALSE,https://www.ethicalsuperstore.com/category/fashion/womens/knitwear
fashion,fashion/womens/coats---jackets,Coats jackets,FALSE,https://www.ethicalsuperstore.com/category/fashion/womens/coats---jackets
fashion,fashion/womens/dresses,Dresses,FALSE,https://www.ethicalsuperstore.com/category/fashion/womens/dresses
fashion,fashion/womens/accessories,Accessories,FALSE,https://www.ethicalsuperstore.com/category/fashion/womens/accessories
fashion,fashion/womens/lingerie-and-nightwear,Lingerie and nightwear,FALSE,https://www.ethicalsuperstore.com/category/fashion/womens/lingerie-and-nightwear
fashion,fashion/womens/lounge-and-leisurewear,Lounge and leisurewear,FALSE,https://www.ethicalsuperstore.com/category/fashion/womens/lounge-and-leisurewear
fashion,fashion/womens/socks,Socks,FALSE,https://www.ethicalsuperstore.com/category/fashion/womens/socks
fashion,fashion/womens/nightwear,Nightwear,FALSE,https://www.ethicalsuperstore.com/category/fashion/womens/nightwear
fashion,fashion/womens/trousers,Trousers,FALSE,https://www.ethicalsuperstore.com/category/fashion/womens/trousers
fashion,fashion/womens/graphic-t_shirt-and-jumpers,Graphic t_shirt and jumpers,FALSE,https://www.ethicalsuperstore.com/category/fashion/womens/graphic-t_shirt-and-jumpers
fashion,fashion/womens/bags,Bags,FALSE,https://www.ethicalsuperstore.com/category/fashion/womens/bags
fashion,fashion/mens/t_shirts,T_shirts,FALSE,https://www.ethicalsuperstore.com/category/fashion/mens/t_shirts
fashion,fashion/mens/shirts,Shirts,FALSE,https://www.ethicalsuperstore.com/category/fashion/mens/shirts
fashion,fashion/mens/graphic-tees,Graphic tees,FALSE,https://www.ethicalsuperstore.com/category/fashion/mens/graphic-tees
fashion,fashion/mens/trousers-and-shorts,Trousers and shorts,FALSE,https://www.ethicalsuperstore.com/category/fashion/mens/trousers-and-shorts
fashion,fashion/mens/jackets-and-jumpers,Jackets and jumpers,FALSE,https://www.ethicalsuperstore.com/category/fashion/mens/jackets-and-jumpers
fashion,fashion/mens/underwear,Underwear,FALSE,https://www.ethicalsuperstore.com/category/fashion/mens/underwear
fashion,fashion/mens/socks,Socks,FALSE,https://www.ethicalsuperstore.com/category/fashion/mens/socks
fashion,fashion/mens/accessories,Accessories,FALSE,https://www.ethicalsuperstore.com/category/fashion/mens/accessories
fashion,fashion/jewellery/necklaces,Necklaces,FALSE,https://www.ethicalsuperstore.com/category/fashion/jewellery/necklaces
fashion,fashion/jewellery/earrings,Earrings,FALSE,https://www.ethicalsuperstore.com/category/fashion/jewellery/earrings
fashion,fashion/jewellery/bracelets,Bracelets,FALSE,https://www.ethicalsuperstore.com/category/fashion/jewellery/bracelets
fashion,fashion/jewellery/rings,Rings,FALSE,https://www.ethicalsuperstore.com/category/fashion/jewellery/rings
fashion,fashion/footwear/mens,Mens,FALSE,https://www.ethicalsuperstore.com/category/fashion/footwear/mens
