providerKey,merchantKey,etlCode1,description,active
ethical-superstore-web,ethical-superstore,baby-child-and-toys/nappies/reusable-nappies,Reusable nappies,FALSE
ethical-superstore-web,ethical-superstore,baby-child-and-toys/nappies/wipes-and-creams,Wipes and creams,FALSE
ethical-superstore-web,ethical-superstore,baby-child-and-toys/bodycare/bathtime,Bathtime,FALSE
ethical-superstore-web,ethical-superstore,baby-child-and-toys/bodycare/baby-oil-and-lotion,Baby oil and lotion,FALSE
ethical-superstore-web,ethical-superstore,baby-child-and-toys/bodycare/dental-care,Dental care,FALSE
ethical-superstore-web,ethical-superstore,baby-child-and-toys/baby-food,Baby food,FALSE
ethical-superstore-web,ethical-superstore,baby-child-and-toys/toys/baby,Baby,FALSE
ethical-superstore-web,ethical-superstore,baby-child-and-toys/toys/kids,Kids,FALSE
ethical-superstore-web,ethical-superstore,pet-care/dog-food,Dog food,FALSE
ethical-superstore-web,ethical-superstore,pet-care/cat-food,Cat food,FALSE
ethical-superstore-web,ethical-superstore,pet-care/vegan-pet-food,Vegan pet food,FALSE
ethical-superstore-web,ethical-superstore,pet-care/accessories,Accessories,FALSE
ethical-superstore-web,ethical-superstore,pet-care/toys,Toys,FALSE
