providerKey,category,subcategory1,subcategory2,location,description,active
ethical-superstore,home-and-garden,garden-and-outdoor,outdoor-furniture,/category/home-and-garden/garden-and-outdoor/outdoor-furniture/,Outdoor furniture,true
ethical-superstore,home-and-garden,kitchen-and-dining,dining-and-entertaining,/category/home-and-garden/kitchen-and-dining/dining-and-entertaining/,Dining and entertaining,true
ethical-superstore,home-and-garden,kitchen-and-dining,cups-mugs-and-glasses,/category/home-and-garden/kitchen-and-dining/cups-mugs-and-glasses/,Cups mugs and glasses,true
ethical-superstore,home-and-garden,kitchen-and-dining,cookware-and-food-prep,/category/home-and-garden/kitchen-and-dining/cookware-and-food-prep/,Cookware and food prep,true
ethical-superstore,home-and-garden,kitchen-and-dining,eco-kettles,/category/home-and-garden/kitchen-and-dining/eco-kettles/,Eco kettles,true
ethical-superstore,home-and-garden,kitchen-and-dining,kitchen-accessories,/category/home-and-garden/kitchen-and-dining/kitchen-accessories/,Kitchen accessories,true
ethical-superstore,home-and-garden,kitchen-and-dining,picnicware-and-lunchboxes,/category/home-and-garden/kitchen-and-dining/picnicware-and-lunchboxes/,Picnicware and lunchboxes,true
ethical-superstore,home-and-garden,kitchen-and-dining,reusable-cups-and-bottles,/category/home-and-garden/kitchen-and-dining/reusable-cups-and-bottles/,Reusable cups and bottles,true
ethical-superstore,home-and-garden,kitchen-and-dining,home-composting,/category/home-and-garden/kitchen-and-dining/home-composting/,Home composting,true
ethical-superstore,home-and-garden,bed-and-bath,bedding-sets,/category/home-and-garden/bed-and-bath/bedding-sets/,Bedding sets,true
ethical-superstore,home-and-garden,bed-and-bath,duvet-covers-and-pillowcases,/category/home-and-garden/bed-and-bath/duvet-covers-and-pillowcases/,Duvet covers and pillowcases,true
ethical-superstore,home-and-garden,bed-and-bath,duvets-pillows-and-protectors,/category/home-and-garden/bed-and-bath/duvets-pillows-and-protectors/,Duvets pillows and protectors,true
ethical-superstore,home-and-garden,bed-and-bath,flat-sheets,/category/home-and-garden/bed-and-bath/flat-sheets/,Flat sheets,true
ethical-superstore,home-and-garden,bed-and-bath,throws-and-blankets,/category/home-and-garden/bed-and-bath/throws-and-blankets/,Throws and blankets,true
ethical-superstore,home-and-garden,bed-and-bath,bath-linen,/category/home-and-garden/bed-and-bath/bath-linen/,Bath linen,true
ethical-superstore,beauty-health-and-wellbeing,bath-and-body,bath-and-shower,/category/beauty-health-and-wellbeing/bath-and-body/bath-and-shower/,Bath and shower,true
ethical-superstore,beauty-health-and-wellbeing,bath-and-body,body-lotion,/category/beauty-health-and-wellbeing/bath-and-body/body-lotion/,Body lotion,true
ethical-superstore,beauty-health-and-wellbeing,bath-and-body,soap,/category/beauty-health-and-wellbeing/bath-and-body/soap/,Soap,true
ethical-superstore,beauty-health-and-wellbeing,bath-and-body,hand-soap,/category/beauty-health-and-wellbeing/bath-and-body/hand-soap/,Hand soap,true
ethical-superstore,beauty-health-and-wellbeing,bath-and-body,hands-nails-and-feet,/category/beauty-health-and-wellbeing/bath-and-body/hands-nails-and-feet/,Hands nails and feet,true
ethical-superstore,beauty-health-and-wellbeing,bath-and-body,sun-care-and-tanning,/category/beauty-health-and-wellbeing/bath-and-body/sun-care-and-tanning/,Sun care and tanning,true
ethical-superstore,beauty-health-and-wellbeing,bath-and-body,bath-accessories,/category/beauty-health-and-wellbeing/bath-and-body/bath-accessories/,Bath accessories,true
ethical-superstore,beauty-health-and-wellbeing,bath-and-body,deodorant,/category/beauty-health-and-wellbeing/bath-and-body/deodorant/,Deodorant,true
ethical-superstore,beauty-health-and-wellbeing,skin-care,moisturiser,/category/beauty-health-and-wellbeing/skin-care/moisturiser/,Moisturiser,true
ethical-superstore,beauty-health-and-wellbeing,skin-care,cleanser-toner-and-facewash,/category/beauty-health-and-wellbeing/skin-care/cleanser-toner-and-facewash/,Cleanser toner and facewash,true
ethical-superstore,beauty-health-and-wellbeing,skin-care,lip-care,/category/beauty-health-and-wellbeing/skin-care/lip-care/,Lip care,true
ethical-superstore,beauty-health-and-wellbeing,skin-care,treatments,/category/beauty-health-and-wellbeing/skin-care/treatments/,Treatments,true
ethical-superstore,beauty-health-and-wellbeing,hair-care,shampoo,/category/beauty-health-and-wellbeing/hair-care/shampoo/,Shampoo,true
ethical-superstore,beauty-health-and-wellbeing,hair-care,shampoo-bars,/category/beauty-health-and-wellbeing/hair-care/shampoo-bars/,Shampoo bars,true
ethical-superstore,beauty-health-and-wellbeing,hair-care,conditioner,/category/beauty-health-and-wellbeing/hair-care/conditioner/,Conditioner,true
ethical-superstore,beauty-health-and-wellbeing,hair-care,conditioner-bars,/category/beauty-health-and-wellbeing/hair-care/conditioner-bars/,Conditioner bars,true
ethical-superstore,beauty-health-and-wellbeing,hair-care,styling,/category/beauty-health-and-wellbeing/hair-care/styling/,Styling,true
ethical-superstore,beauty-health-and-wellbeing,make-up,face,/category/beauty-health-and-wellbeing/make-up/face/,Face,true
ethical-superstore,beauty-health-and-wellbeing,make-up,eyes,/category/beauty-health-and-wellbeing/make-up/eyes/,Eyes,true
ethical-superstore,beauty-health-and-wellbeing,make-up,tools,/category/beauty-health-and-wellbeing/make-up/tools/,Tools,true
ethical-superstore,beauty-health-and-wellbeing,make-up,nail-polish,/category/beauty-health-and-wellbeing/make-up/nail-polish/,Nail polish,true
ethical-superstore,beauty-health-and-wellbeing,for-men,shaving,/category/beauty-health-and-wellbeing/for-men/shaving/,Shaving,true
ethical-superstore,beauty-health-and-wellbeing,for-men,skin-care,/category/beauty-health-and-wellbeing/for-men/skin-care/,Skin care,true
ethical-superstore,beauty-health-and-wellbeing,for-men,bath-and-shower,/category/beauty-health-and-wellbeing/for-men/bath-and-shower/,Bath and shower,true
ethical-superstore,beauty-health-and-wellbeing,dental-care,toothbrushes,/category/beauty-health-and-wellbeing/dental-care/toothbrushes/,Toothbrushes,true
ethical-superstore,beauty-health-and-wellbeing,dental-care,toothpaste,/category/beauty-health-and-wellbeing/dental-care/toothpaste/,Toothpaste,true
ethical-superstore,beauty-health-and-wellbeing,dental-care,mouthwash-and-dental-floss,/category/beauty-health-and-wellbeing/dental-care/mouthwash-and-dental-floss/,Mouthwash and dental floss,true
ethical-superstore,beauty-health-and-wellbeing,essentials,,/category/beauty-health-and-wellbeing/essentials/,Essentials,true
ethical-superstore,beauty-health-and-wellbeing,menstrual-care,tampons,/category/beauty-health-and-wellbeing/menstrual-care/tampons/,Tampons,true
ethical-superstore,beauty-health-and-wellbeing,menstrual-care,menstrual-cups,/category/beauty-health-and-wellbeing/menstrual-care/menstrual-cups/,Menstrual cups,true
ethical-superstore,beauty-health-and-wellbeing,menstrual-care,pads-and-panty-liners,/category/beauty-health-and-wellbeing/menstrual-care/pads-and-panty-liners/,Pads and panty liners,true
ethical-superstore,beauty-health-and-wellbeing,menstrual-care,reusable-sanitary-pads,/category/beauty-health-and-wellbeing/menstrual-care/reusable-sanitary-pads/,Reusable sanitary pads,true
ethical-superstore,beauty-health-and-wellbeing,menstrual-care,period-underwear,/category/beauty-health-and-wellbeing/menstrual-care/period-underwear/,Period underwear,true
ethical-superstore,beauty-health-and-wellbeing,menstrual-care,intimate-wipes-washes,/category/beauty-health-and-wellbeing/menstrual-care/intimate-wipes-washes/,Intimate wipes washes,true
ethical-superstore,beauty-health-and-wellbeing,remedies-and-wellbeing,face-masks,/category/beauty-health-and-wellbeing/remedies-and-wellbeing/face-masks/,Face masks,true
ethical-superstore,beauty-health-and-wellbeing,remedies-and-wellbeing,remedies,/category/beauty-health-and-wellbeing/remedies-and-wellbeing/remedies/,Remedies,true
ethical-superstore,beauty-health-and-wellbeing,remedies-and-wellbeing,light-therapy,/category/beauty-health-and-wellbeing/remedies-and-wellbeing/light-therapy/,Light therapy,true
ethical-superstore,beauty-health-and-wellbeing,remedies-and-wellbeing,sports-nutrition,/category/beauty-health-and-wellbeing/remedies-and-wellbeing/sports-nutrition/,Sports nutrition,true
ethical-superstore,beauty-health-and-wellbeing,beauty-gift-sets,,/category/beauty-health-and-wellbeing/beauty-gift-sets/,Beauty gift sets,true
ethical-superstore,beauty-health-and-wellbeing,plastic-free.htm,,/category/beauty-health-and-wellbeing/plastic-free.htm,"Beauty, Health & Wellbeing - Plastic free",true
ethical-superstore,beauty-health-and-wellbeing,organic.htm,,/category/beauty-health-and-wellbeing/organic.htm,"Beauty, Health & Wellbeing - Organic",true
ethical-superstore,baby-child-and-toys,clothing,baby,/category/baby-child-and-toys/clothing/baby/,Baby,true
ethical-superstore,baby-child-and-toys,clothing,tops-and-t_shirts,/category/baby-child-and-toys/clothing/tops-and-t_shirts/,Tops and t_shirts,true
ethical-superstore,baby-child-and-toys,clothing,knitwear-and-jumpers,/category/baby-child-and-toys/clothing/knitwear-and-jumpers/,Knitwear and jumpers,true
